|        x         |        y         |zx |nx |zy |ny | f |no |       out        |
| 1100111111011111 | 1011101010110011 | 1 | 1 | 1 | 0 | 0 | 0 | 0000000000000000 |
| 0110110111110011 | 0110110011101001 | 0 | 1 | 1 | 1 | 0 | 0 | 1001001000001100 |
| 1001110101011001 | 0000110100100000 | 1 | 1 | 1 | 0 | 0 | 1 | 1111111111111111 |
| 1101111101110011 | 1111111010000000 | 0 | 1 | 0 | 0 | 1 | 1 | 1110000011110011 |
| 0011110100111000 | 1010011010111000 | 0 | 1 | 0 | 1 | 0 | 0 | 0100000001000111 |
| 0000000100011011 | 1011101011011011 | 0 | 0 | 1 | 0 | 1 | 0 | 0000000100011011 |
| 1101010011000111 | 0001101101100100 | 1 | 0 | 0 | 0 | 0 | 1 | 1111111111111111 |
| 0011110001011010 | 1100000100010100 | 0 | 1 | 0 | 0 | 0 | 1 | 0011111011111011 |
| 0010111011000110 | 1000001111000001 | 1 | 1 | 0 | 0 | 1 | 1 | 0111110000111111 |
| 1111101010110000 | 0100100101100010 | 1 | 1 | 0 | 0 | 0 | 1 | 1011011010011101 |
| 1010110000110101 | 1010000000111010 | 1 | 1 | 0 | 0 | 0 | 1 | 0101111111000101 |
| 0100100000110110 | 0111110111100100 | 1 | 0 | 1 | 0 | 1 | 1 | 1111111111111111 |
| 1001010011000001 | 1011000101001000 | 0 | 0 | 0 | 0 | 1 | 0 | 0100011000001001 |
| 1010110101010110 | 0001010100001101 | 0 | 0 | 1 | 1 | 1 | 0 | 1010110101010101 |
| 0110110110001111 | 1100010101000001 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 |
| 1110111101111010 | 0011000000100001 | 1 | 0 | 1 | 1 | 1 | 0 | 1111111111111111 |
