|        a         |        b         |       out        |
| 0101000101110111 | 0011101101101000 | 1000110011011111 |
| 1100110100100100 | 0001100101100011 | 1110011010000111 |
| 0001011101101101 | 0110010000110101 | 0111101110100010 |
| 1100000011100110 | 0010110101000100 | 1110111000101010 |
| 1000000111100000 | 1000111011100100 | 0001000011000100 |
| 1010000111010100 | 0001101101001001 | 1011110100011101 |
| 0100110110010110 | 1110011010101010 | 0011010001000000 |
| 1011110111001100 | 1101010000001011 | 1001000111010111 |
| 1010011101010100 | 0110101011100000 | 0001001000110100 |
| 1111100011010100 | 1011110010000001 | 1011010101010101 |
| 1000000001101111 | 1001001011110000 | 0001001101011111 |
| 0011111001101111 | 1110001010100101 | 0010000100010100 |
| 0001111101000100 | 1100110010110100 | 1110101111111000 |
| 0111000110111011 | 0001101000111101 | 1000101111111000 |
| 0011001001001011 | 1111001111000110 | 0010011000010001 |
| 1001110101100001 | 0011110101111101 | 1101101011011110 |
