| time |in |loa|out|
| 0+   | 1 | 1 | 0 |
| 1    | 1 | 1 | 1 |
| 1+   | 1 | 0 | 1 |
| 2    | 1 | 0 | 1 |
| 2+   | 0 | 1 | 1 |
| 3    | 0 | 1 | 0 |
| 3+   | 0 | 1 | 0 |
| 4    | 0 | 1 | 0 |
| 4+   | 0 | 1 | 0 |
| 5    | 0 | 1 | 0 |
| 5+   | 0 | 1 | 0 |
| 6    | 0 | 1 | 0 |
| 6+   | 1 | 0 | 0 |
| 7    | 1 | 0 | 0 |
| 7+   | 1 | 1 | 0 |
| 8    | 1 | 1 | 1 |
| 8+   | 0 | 0 | 1 |
| 9    | 0 | 0 | 1 |
| 9+   | 1 | 0 | 1 |
| 10   | 1 | 0 | 1 |
| 10+  | 0 | 1 | 1 |
| 11   | 0 | 1 | 0 |
| 11+  | 1 | 0 | 0 |
| 12   | 1 | 0 | 0 |
| 12+  | 1 | 1 | 0 |
| 13   | 1 | 1 | 1 |
| 13+  | 0 | 0 | 1 |
| 14   | 0 | 0 | 1 |
| 14+  | 1 | 1 | 1 |
| 15   | 1 | 1 | 1 |
| 15+  | 1 | 1 | 1 |
| 16   | 1 | 1 | 1 |
