|        in        |       out        |
| 1001010000010010 | 1001010000010011 |
| 1001001000001010 | 1001001000001011 |
| 0000101000011001 | 0000101000011010 |
| 1110001001100001 | 1110001001100010 |
| 1001101100111010 | 1001101100111011 |
| 1001001111101000 | 1001001111101001 |
| 0011010011111110 | 0011010011111111 |
| 0100110010010101 | 0100110010010110 |
| 0110100101110110 | 0110100101110111 |
| 1100011001101010 | 1100011001101011 |
| 1000111101111000 | 1000111101111001 |
| 0011100101010110 | 0011100101010111 |
| 1001101001000000 | 1001101001000001 |
| 0110101000110101 | 0110101000110110 |
| 0100100101110011 | 0100100101110100 |
| 1000101001111111 | 1000101010000000 |
