| a | b | c | d | e | f | g | h | sel | out |
| 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 001 |  1  |
| 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 101 |  0  |
| 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 111 |  0  |
| 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 010 |  0  |
| 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 101 |  0  |
| 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 111 |  0  |
| 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 101 |  0  |
| 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 101 |  0  |
| 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 111 |  1  |
| 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 000 |  0  |
| 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 111 |  1  |
| 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 000 |  0  |
| 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 110 |  0  |
| 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 011 |  1  |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 010 |  0  |
| 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 110 |  0  |
