|        a         |        b         |        c         |        d         |        e         |        f         |        g         |        h         | sel |       out        |
| 0111001000100011 | 0010101100010011 | 1001101101100001 | 1100101011011110 | 1000110110001011 | 0011001001110010 | 0101001110110110 | 0101000001011000 | 001 | 0010101100010011 |
| 1100110000001110 | 0011011101001100 | 1110101100000110 | 1000011111000000 | 1101110100010100 | 1100011111100011 | 0110110100101000 | 0101011011111011 | 100 | 1101110100010100 |
| 1010011101110010 | 1111110101101000 | 1100001101000110 | 1111010100001011 | 1110001100000101 | 0011100001000100 | 0101011111011001 | 0001111011101100 | 000 | 1010011101110010 |
| 1001011010100100 | 0101011111000101 | 1110011001111111 | 0001111001111010 | 1110101000001000 | 0001101011111101 | 0101110101010111 | 0110101100010110 | 100 | 1110101000001000 |
| 1101000101110011 | 1101000001010101 | 1111010101001010 | 1011011111100111 | 0011110011110000 | 0111100101101011 | 0011101101111101 | 0101010010000011 | 100 | 0011110011110000 |
| 1111010001001101 | 1101001010100100 | 0001101110010100 | 0100101011010011 | 1000011101101100 | 0001010100111101 | 1110111110110010 | 1011001100101011 | 000 | 1111010001001101 |
| 1110101110110101 | 1000100011000010 | 0111001000010000 | 1011010010100111 | 1110001000101110 | 0001100011111011 | 0011011001100110 | 0100000011111111 | 011 | 1011010010100111 |
| 0000000100000111 | 1101011000001000 | 0111101011101101 | 1000110000101010 | 0000111110101101 | 1110010000110011 | 1110001010010001 | 1010001011001101 | 010 | 0111101011101101 |
| 1100000110001101 | 0011101001001111 | 0110101111101101 | 0011111111011110 | 1000111111101010 | 0000101110010011 | 0110001111100111 | 0001100010110100 | 011 | 0011111111011110 |
| 1100111010110000 | 0010010110110111 | 1110011011000100 | 0101111000000010 | 1110000101001000 | 1101010110010100 | 0111010111101000 | 0011110101001000 | 100 | 1110000101001000 |
| 0011101101100111 | 0010101100110111 | 1101011001010100 | 0000101111010111 | 0111100011100100 | 1111011011100100 | 0101100000101011 | 1101011011111110 | 010 | 1101011001010100 |
| 0101110010111000 | 1011001011000110 | 0101100010110011 | 1010010000111110 | 0110100001000010 | 0101100011111100 | 0011011010110100 | 1000000000111100 | 010 | 0101100010110011 |
| 0101001110000010 | 1100001100011001 | 1011100110001011 | 0111001011111111 | 0010011111100110 | 1011111000110111 | 1011101101100100 | 0000011111100001 | 101 | 1011111000110111 |
| 0110010001010010 | 0000010010000000 | 0011101000111111 | 1110010101101111 | 1000101111111010 | 0100101010010000 | 0001100010000011 | 0011011101100011 | 000 | 0110010001010010 |
| 0010110110110000 | 0110011001000000 | 1011100110011100 | 0011010110101101 | 1011000111011111 | 0100010000110100 | 1110011110111000 | 1000001100110001 | 010 | 1011100110011100 |
| 0111010011101011 | 1000011010011101 | 1100100100101010 | 1101010111100111 | 1000110111100001 | 1101100101101111 | 0110111101101100 | 1110101110110100 | 011 | 1101010111100111 |
