| time |   in   |addre|load |  out   |
| 0+   |   4531 |  35 |  1  |      0 |
| 1    |   4531 |  35 |  1  |   4531 |
| 1+   | -13147 |  63 |  0  |      0 |
| 2    | -13147 |  63 |  0  |      0 |
| 2+   |  15689 |  13 |  1  |      0 |
| 3    |  15689 |  13 |  1  |  15689 |
| 3+   |  -3267 |  14 |  1  |      0 |
| 4    |  -3267 |  14 |  1  |  -3267 |
| 4+   | -22827 |  45 |  1  |      0 |
| 5    | -22827 |  45 |  1  | -22827 |
| 5+   |  15127 |  32 |  0  |      0 |
| 6    |  15127 |  32 |  0  |      0 |
| 6+   | -19467 |  31 |  0  |      0 |
| 7    | -19467 |  31 |  0  |      0 |
| 7+   |  23731 |  11 |  1  |      0 |
| 8    |  23731 |  11 |  1  |  23731 |
| 8+   | -14084 |  19 |  1  |      0 |
| 9    | -14084 |  19 |  1  | -14084 |
| 9+   | -24281 |  60 |  1  |      0 |
| 10   | -24281 |  60 |  1  | -24281 |
| 10+  |  25284 |  45 |  0  | -22827 |
| 11   |  25284 |  45 |  0  | -22827 |
| 11+  | -27866 |  34 |  0  |      0 |
| 12   | -27866 |  34 |  0  |      0 |
| 12+  |    891 |  20 |  0  |      0 |
| 13   |    891 |  20 |  0  |      0 |
| 13+  | -12357 |  27 |  1  |      0 |
| 14   | -12357 |  27 |  1  | -12357 |
| 14+  |  18614 |  20 |  1  |      0 |
| 15   |  18614 |  20 |  1  |  18614 |
| 15+  |  -2544 |  40 |  1  |      0 |
| 16   |  -2544 |  40 |  1  |  -2544 |
