| time |        in        |addre| load  |       out        |
| 0+   | 1101101010101101 | 100 |  001  | 0000000000000000 |
| 1    | 1101101010101101 | 100 |  001  | 1101101010101101 |
| 1+   | 0110000100001001 | 010 |  000  | 0000000000000000 |
| 2    | 0110000100001001 | 010 |  000  | 0000000000000000 |
| 2+   | 0000010101110101 | 001 |  000  | 0000000000000000 |
| 3    | 0000010101110101 | 001 |  000  | 0000000000000000 |
| 3+   | 1010011011000100 | 100 |  000  | 1101101010101101 |
| 4    | 1010011011000100 | 100 |  000  | 1101101010101101 |
| 4+   | 1110101010011011 | 001 |  001  | 0000000000000000 |
| 5    | 1110101010011011 | 001 |  001  | 1110101010011011 |
| 5+   | 1100111110001010 | 000 |  000  | 0000000000000000 |
| 6    | 1100111110001010 | 000 |  000  | 0000000000000000 |
| 6+   | 0010010001000110 | 100 |  000  | 1101101010101101 |
| 7    | 0010010001000110 | 100 |  000  | 1101101010101101 |
| 7+   | 0110011010000100 | 000 |  000  | 0000000000000000 |
| 8    | 0110011010000100 | 000 |  000  | 0000000000000000 |
| 8+   | 1101001000111010 | 011 |  000  | 0000000000000000 |
| 9    | 1101001000111010 | 011 |  000  | 0000000000000000 |
| 9+   | 1000110001001010 | 001 |  000  | 1110101010011011 |
| 10   | 1000110001001010 | 001 |  000  | 1110101010011011 |
| 10+  | 0001001111010110 | 011 |  000  | 0000000000000000 |
| 11   | 0001001111010110 | 011 |  000  | 0000000000000000 |
| 11+  | 0010100000110111 | 000 |  000  | 0000000000000000 |
| 12   | 0010100000110111 | 000 |  000  | 0000000000000000 |
| 12+  | 0000100100100000 | 111 |  001  | 0000000000000000 |
| 13   | 0000100100100000 | 111 |  001  | 0000100100100000 |
| 13+  | 0011001000001000 | 011 |  001  | 0000000000000000 |
| 14   | 0011001000001000 | 011 |  001  | 0011001000001000 |
| 14+  | 0011011111101001 | 000 |  001  | 0000000000000000 |
| 15   | 0011011111101001 | 000 |  001  | 0011011111101001 |
| 15+  | 0100001010101000 | 101 |  001  | 0000000000000000 |
| 16   | 0100001010101000 | 101 |  001  | 0100001010101000 |
