| time |        in        |loa|       out        |
| 0+   | 1001100111110000 | 0 | 0000000000000000 |
| 1    | 1001100111110000 | 0 | 0000000000000000 |
| 1+   | 0010011111011000 | 0 | 0000000000000000 |
| 2    | 0010011111011000 | 0 | 0000000000000000 |
| 2+   | 1001101011101000 | 1 | 0000000000000000 |
| 3    | 1001101011101000 | 1 | 1001101011101000 |
| 3+   | 1010111110110011 | 0 | 1001101011101000 |
| 4    | 1010111110110011 | 0 | 1001101011101000 |
| 4+   | 0001101111100001 | 1 | 1001101011101000 |
| 5    | 0001101111100001 | 1 | 0001101111100001 |
| 5+   | 0100111110111011 | 0 | 0001101111100001 |
| 6    | 0100111110111011 | 0 | 0001101111100001 |
| 6+   | 1110001010101011 | 0 | 0001101111100001 |
| 7    | 1110001010101011 | 0 | 0001101111100001 |
| 7+   | 1110010001100011 | 0 | 0001101111100001 |
| 8    | 1110010001100011 | 0 | 0001101111100001 |
| 8+   | 1001001011000111 | 1 | 0001101111100001 |
| 9    | 1001001011000111 | 1 | 1001001011000111 |
| 9+   | 1101011110101100 | 1 | 1001001011000111 |
| 10   | 1101011110101100 | 1 | 1101011110101100 |
| 10+  | 0001100000010101 | 1 | 1101011110101100 |
| 11   | 0001100000010101 | 1 | 0001100000010101 |
| 11+  | 1110100111111000 | 1 | 0001100000010101 |
| 12   | 1110100111111000 | 1 | 1110100111111000 |
| 12+  | 0011011011010110 | 0 | 1110100111111000 |
| 13   | 0011011011010110 | 0 | 1110100111111000 |
| 13+  | 0101001111001011 | 1 | 1110100111111000 |
| 14   | 0101001111001011 | 1 | 0101001111001011 |
| 14+  | 1111010010000101 | 0 | 0101001111001011 |
| 15   | 1111010010000101 | 0 | 0101001111001011 |
| 15+  | 1100101101100100 | 1 | 0101001111001011 |
| 16   | 1100101101100100 | 1 | 1100101101100100 |
